$ ./cook
[11:00 am] Cook C is ready
[11:00 am] 	Cook D is ready
[11:01 am] Cook C: Preparing order (Waiter V, Customer 2, Count 2)
[01:21 pm] 	Cook D: Prepared order (Waiter W, Customer 38, Count 1)
[01:22 pm] Cook C: Preparing order (Waiter X, Customer 39, Count 1)
[01:27 pm] Cook C: Prepared order (Waiter X, Customer 39, Count 1)
[01:31 pm] 	Cook D: Preparing order (Waiter Y, Customer 40, Count 2)
[01:34 pm] Cook C: Preparing order (Waiter U, Customer 41, Count 1)
[01:39 pm] Cook C: Prepared order (Waiter U, Customer 41, Count 1)
[01:41 pm] 	Cook D: Prepared order (Waiter Y, Customer 40, Count 2)
[01:41 pm] Cook C: Preparing order (Waiter V, Customer 42, Count 1)
[01:46 pm] Cook C: Prepared order (Waiter V, Customer 42, Count 1)
[01:47 pm] 	Cook D: Preparing order (Waiter W, Customer 43, Count 1)
[01:51 pm] Cook C: Preparing order (Waiter X, Customer 44, Count 3)
[01:52 pm] 	Cook D: Prepared order (Waiter W, Customer 43, Count 1)
[01:52 pm] 	Cook D: Preparing order (Waiter Y, Customer 45, Count 1)
[01:57 pm] 	Cook D: Prepared order (Waiter Y, Customer 45, Count 1)
[01:57 pm] 	Cook D: Preparing order (Waiter U, Customer 46, Count 1)
[02:02 pm] 	Cook D: Prepared order (Waiter U, Customer 46, Count 1)
[02:02 pm] 	Cook D: Preparing order (Waiter V, Customer 47, Count 1)
[02:06 pm] Cook C: Prepared order (Waiter X, Customer 44, Count 3)
[02:07 pm] 	Cook D: Prepared order (Waiter V, Customer 47, Count 1)
[02:07 pm] Cook C: Preparing order (Waiter W, Customer 48, Count 2)
[02:07 pm] 	Cook D: Preparing order (Waiter X, Customer 49, Count 1)
[02:12 pm] 	Cook D: Prepared order (Waiter X, Customer 49, Count 1)
[02:12 pm] 	Cook D: Preparing order (Waiter Y, Customer 51, Count 1)
[02:17 pm] Cook C: Prepared order (Waiter W, Customer 48, Count 2)
[02:17 pm] 	Cook D: Prepared order (Waiter Y, Customer 51, Count 1)
[02:19 pm] Cook C: Preparing order (Waiter U, Customer 52, Count 2)
[02:19 pm] 	Cook D: Preparing order (Waiter V, Customer 53, Count 1)
[02:24 pm] 	Cook D: Prepared order (Waiter V, Customer 53, Count 1)
[02:27 pm] 	Cook D: Preparing order (Waiter W, Customer 54, Count 1)
[02:29 pm] Cook C: Prepared order (Waiter U, Customer 52, Count 2)
[02:31 pm] Cook C: Preparing order (Waiter X, Customer 55, Count 1)
[02:32 pm] 	Cook D: Prepared order (Waiter W, Customer 54, Count 1)
[02:36 pm] Cook C: Prepared order (Waiter X, Customer 55, Count 1)
[02:40 pm] 	Cook D: Preparing order (Waiter Y, Customer 57, Count 1)
[02:44 pm] Cook C: Preparing order (Waiter U, Customer 58, Count 1)
[02:45 pm] 	Cook D: Prepared order (Waiter Y, Customer 57, Count 1)
[02:47 pm] 	Cook D: Preparing order (Waiter V, Customer 59, Count 1)
[02:49 pm] Cook C: Prepared order (Waiter U, Customer 58, Count 1)
[02:52 pm] 	Cook D: Prepared order (Waiter V, Customer 59, Count 1)
[02:53 pm] Cook C: Preparing order (Waiter W, Customer 60, Count 2)
[03:01 pm] 	Cook D: Preparing order (Waiter X, Customer 61, Count 1)
[03:03 pm] Cook C: Prepared order (Waiter W, Customer 60, Count 2)
[03:03 pm] Cook C: Leaving
[03:06 pm] 	Cook D: Prepared order (Waiter X, Customer 61, Count 1)
[03:06 pm] Cook D: Leaving
$
